,nconst,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Betweenness centrality,CineMAC rank
129,nm0000807,Jane Austen,writer,7.495047914770001e-05,0.0008050712347140001,0.06621037974086048,0.00166352428359976,0.017188481434580485
10038,nm0744514,Richard Rosson,director,5.0859253707369995e-05,0.00438967378245502,0.06429930247305009,6.192341821713883e-06,0.017186506962758547
437,nm0456946,David Kirschner,"writer,producer",0.00010707211306815001,7.280965800694e-05,0.06782554035104685,0.00073577237765424,0.017185298624944043
491,nm0003132,Andre Morgan,"producer,writer",6.959687349429e-05,8.222558427226e-05,0.06790708182382983,0.00067878138088508,0.017184421415620366
1299,nm0000142,Clint Eastwood,director,0.00010171850741473999,9.910715964750001e-05,0.06820867338255435,0.00032755527447004,0.017184263581021656
7939,nm0396754,Lionel Houser,writer,7.2273676321e-05,0.0043442666944538,0.06429733756064018,2.1515900461810252e-05,0.0171838484579692
3351,nm0712639,John Rawlins,director,9.636490176133001e-05,0.00271765753281788,0.06578445472736368,0.00012894907801812,0.01718185655999025
2058,nm0397574,Robert E. Howard,writer,5.0859253707369995e-05,0.00023566817080702,0.06821696629759916,0.00022166428414224,0.017181289501563946
6763,nm0307561,Robert Garland,writer,4.550564805396e-05,0.00024408449361863998,0.06838769440787867,3.414966228370446e-05,0.017177858552958745
1772,nm0829329,Donald E. Stewart,writer,6.156646501418001e-05,0.00014645519809886,0.06824241048261545,0.00025561313482068,0.017176511320137294
7554,nm0186118,Mildred Cram,writer,3.2121633920440005e-05,0.0022809909543579,0.06636648950431338,2.603424218603845e-05,0.01717640908369444
445,nm0000517,Terrence Malick,"director,writer,producer",9.101129610792e-05,0.00035477633140466,0.0675321965897693,0.0007270405090330401,0.017176256181578732
3326,nm0172628,Richard Collins,writer,8.565769045452e-05,0.00310049611458664,0.0653807311654211,0.00013023274541528002,0.017174279428969385
1148,nm0505152,Brian Levant,"director,writer",9.904170458804e-05,0.00017115572966536002,0.06805259072385018,0.00036493668706608003,0.017171931211292416
200,nm0503600,Danny Lerner,"producer,writer",0.00015525456394881003,3.181432323012e-05,0.0672784683640433,0.00121998024819088,0.017171379374853277
1744,nm0001837,Peter Weir,director,6.692007066759e-05,0.00010001917000578001,0.06825956835932748,0.00025830000977768,0.017171201902444633
5199,nm0005713,Karl Freund,director,6.692007066759e-05,0.0031518310293790204,0.06539343128647017,6.188819449152e-05,0.017168517645252075
520,nm0601031,Chris Moore,"producer,director",0.00011777932437496001,6.582840986708001e-05,0.06782772682580875,0.00066113421529952,0.017168117193837578
4043,nm0800971,Don Simpson,"writer,producer",5.8889662187480005e-05,9.505184458566e-05,0.06841048567364355,9.730218648060002e-05,0.017165432341724324
2882,nm0001220,Ian Fleming,writer,7.495047914770001e-05,0.00031512667800888004,0.06810986663213775,0.00015332653151368,0.017163317580202002
2699,nm0507151,Edward Lewis,"producer,writer",8.030408480111e-05,0.00127510509867744,0.06712928620994948,0.00016609124478032,0.017162696659552088
9060,nm0212700,Barney Dean,writer,8.030408480111e-05,0.004632354026742841,0.06391743181973522,1.1943177922570212e-05,0.017160508277300434
4524,nm0375484,Lillian Hellman,writer,6.156646501418001e-05,0.00241606005771042,0.06607782174486525,8.355184054248e-05,0.017159750027033082
1144,nm0180020,Gene Corman,"producer,writer",6.692007066759e-05,0.00042861246431852003,0.06777310721360583,0.00036579812567868,0.01715860946856765
6086,nm0217568,Viña Delmar,writer,9.368809893463001e-05,0.00452941881643068,0.06396552510374387,4.5449344469720006e-05,0.017158520340894726
516,nm0860155,Gary Scott Thompson,writer,6.692007066759e-05,5.42179495588e-05,0.06784248921849177,0.0006634308660770801,0.01715676452619881
1308,nm0002657,Gary Ross,"writer,director",9.368809893463001e-05,0.00017002813174198,0.0680360867245477,0.0003262258331756,0.017156507197099977
1526,nm0411477,Neal Israel,"director,writer",9.101129610792e-05,9.665021883352001e-05,0.06814902386292783,0.00028915218806888,0.017156459391484538
4843,nm0381082,David Hertz,writer,7.495047914770001e-05,0.0038938748642851,0.06458301359771632,7.205561813068e-05,0.01715597363981995
1696,nm0003662,Graham Yost,writer,6.692007066759e-05,8.849668464158e-05,0.06820259319286871,0.00026525447110612,0.017155816104821
6638,nm0341178,Eleanore Griffin,writer,7.762728197440001e-05,0.0037402727317082402,0.06476740159298162,3.621902535488837e-05,0.017155380158004788
3146,nm0102250,Jack Boyle,writer,0.00013384014133518,0.00340404568184852,0.06494031589749921,0.0001423179816386,0.01715512992558038
2691,nm0122364,Frances Hodgson Burnett,writer,5.0859253707369995e-05,0.00207536696190644,0.0663157645909338,0.00016753777007492,0.017152382144155633
834,nm1709264,Dave Callaham,writer,5.353605653407e-05,6.441508998784e-05,0.06802069021255959,0.00046964204164296,0.017152070850181115
2394,nm0070660,Barbara Benedek,writer,3.479843674714e-05,0.00042278341506222003,0.06796191768211438,0.00018868809363112,0.017152046906888714
3801,nm0166058,William Clemens,director,0.00010171850741473999,0.00310043038884922,0.06529703392789253,0.00010874703664472,0.0171519824652003
1910,nm0001403,Neil Jordan,director,5.621285936077e-05,0.0005697319978661801,0.06774528506918451,0.00023580513025100002,0.017151758764165612
3011,nm0815070,Aaron Sorkin,writer,6.692007066759e-05,9.091377143564e-05,0.06830388663901896,0.00014512847718316002,0.017151712239576337
773,nm0677951,Daniel Petrie,director,9.636490176133001e-05,0.00035336301786232,0.06765814796652543,0.0004953666667917199,0.0171508106382352
3249,nm0929186,Rich Wilkes,"writer,director",5.0859253707369995e-05,7.373853712218e-05,0.06833605339439258,0.0001351539247278,0.01714895127748748
2680,nm0437393,Michael Kane,writer,5.8889662187480005e-05,0.0002627517307099,0.06810490625278164,0.00016841707109072003,0.017148741179192434
2884,nm0483149,Gavin Lambert,writer,5.0859253707369995e-05,0.0008308317610525401,0.06755659014288005,0.00015325716238012002,0.01714788458000502
593,nm0000776,Michael Apted,director,0.00013384014133518,6.859004502094e-05,0.06777638190954774,0.0006038801848165601,0.017145673070180105
2206,nm0918709,Brenda Weisberg,writer,0.00010707211306815001,0.0023146145791160403,0.06595096110897791,0.0002056787213304,0.017144581630623126
2647,nm0689796,Abraham Polonsky,"writer,director",5.621285936077e-05,0.00146145745349526,0.06688654353562004,0.00017060045095832,0.017143703574858598
4525,nm0178785,Alec Coppel,writer,6.156646501418001e-05,0.00243139346256948,0.06599181394765316,8.347648467068001e-05,0.017142062589976876
4760,nm0377792,R. Lance Hill,writer,3.7475239573850005e-05,0.00018301638473458,0.06827064253672623,7.487107945316e-05,0.017141501310121952
9037,nm0518979,Hal Long,writer,5.621285936077e-05,0.0038879115268275997,0.0646082984685065,1.2066759176033747e-05,0.017141122403467726
934,nm0919363,Chris Weitz,"producer,director,writer",9.101129610792e-05,9.899070762786e-05,0.06794106962663973,0.00042912374082692005,0.01714004884280061
3274,nm0474539,Buzz Kulik,director,6.156646501418001e-05,0.00024256879569996,0.06811262271068198,0.00013362497585416,0.01713759573681257
