tconst,Film,Country,In-Degree Centrality,PageRank Score,Betweenness Centrality,CineMAC rank
tt0312941,Mak Dau goo si (2001),Hong Kong,0.0001128371008387,4.7106383681290094e-05,0.0,5.3314494839996695e-05
tt0074969,No Way Back (1976),USA,0.0001128371008387,4.695275173472807e-05,0.0,5.3263284191142686e-05
tt0020902,Free and Easy (1930),USA,0.0001128371008387,4.69312846712312e-05,0.0,5.3256128503310396e-05
tt0028144,Public Enemy's Wife (1936),USA,0.0001128371008387,4.676456546602198e-05,0.0,5.320055543490732e-05
tt0022397,Skippy (1931),USA,0.0001128371008387,4.6709180869843926e-05,0.0,5.318209390284797e-05
tt0096240,Teito monogatari (1988),Japan,0.0001128371008387,4.653569180035524e-05,0.0,5.3124264213018416e-05
tt0042281,The Breaking Point (1950),USA,0.0001128371008387,4.6228734212646754e-05,0.0,5.3021945017115586e-05
tt0095895,Powaqqatsi (1988),USA,0.0001128371008387,4.4215687745003406e-05,2.0028466615556844e-06,5.3018545081753035e-05
tt0024641,Taki no shiraito (1933),Japan,0.0001128371008387,4.62087156019302e-05,0.0,5.301527214687673e-05
tt0050143,The Astounding She-Monster (1957),USA,0.0001128371008387,4.618561720494957e-05,0.0,5.300757268121652e-05
tt0120118,Shiloh (1996),USA,0.0001128371008387,4.615579814449019e-05,0.0,5.299763299439673e-05
tt0052218,Some Came Running (1958),USA,0.0001128371008387,3.759563014342474e-05,8.458663934683757e-06,5.296379830560284e-05
tt0460800,Frankenstein Reborn (2005),USA,0.0001128371008387,4.601926209405107e-05,0.0,5.295212097758369e-05
tt0167840,Crash! Che botte... strippo strappo stroppio (1973),Hong Kong,0.0001128371008387,4.601885002858942e-05,0.0,5.295198362242981e-05
tt0077660,Harper Valley P.T.A. (1978),USA,0.0001128371008387,4.590843644118196e-05,8.48846015487518e-09,5.2918008580012274e-05
tt0025010,The Crime of Helen Stanley (1934),USA,0.0001128371008387,4.561585307961715e-05,2.829486718291727e-09,5.281859446834515e-05
tt0037469,The Woman in the Window (1944),USA,0.0001128371008387,4.555338633788375e-05,0.0,5.279682905886125e-05
tt0012538,Outside the Law (1920),USA,0.0001128371008387,4.546322970530813e-05,0.0,5.276677684800271e-05
tt0023843,Bring 'Em Back Alive (1932),USA,0.0001128371008387,4.530771259498001e-05,0.0,5.271493781122667e-05
tt0083826,The Devil in Miss Jones Part II (1982),USA,0.0001128371008387,4.514582825632055e-05,0.0,5.266097636500685e-05
tt0065636,Diary of a Mad Housewife (1970),USA,0.0001128371008387,4.512934849816736e-05,0.0,5.2655483112289116e-05
tt0787475,Hot Rod (2007),USA,0.0001128371008387,4.304131041340202e-05,2.0829772864540272e-06,5.265379617951868e-05
tt0096913,Best of the Best (1989),USA,0.0001128371008387,4.497831174630506e-05,0.0,5.260513752833502e-05
tt0455944,The Equalizer (2014),USA,0.0001128371008387,4.076079368549793e-05,4.171407407541165e-06,5.25897673105797e-05
tt0118898,Cremaster 5 (1997),USA,0.0001128371008387,4.48091584235312e-05,0.0,5.2548753087410404e-05
tt0949731,The Happening (2008),USA,0.0001128371008387,3.9182183240421485e-05,5.623950329352674e-06,5.2547744802824724e-05
tt1196141,Diary of a Wimpy Kid (2010),USA,0.0001128371008387,2.8557088998497422e-05,1.5985132736020184e-05,5.245977419107254e-05
