,Film,PageRank Score,Country,tconst,Year
13962,Journey 2: The Mysterious Island (2012),1.7929484051464002e-05,USA,tt1397514,2012
13963,Inland Empire (2006),1.7929484051464002e-05,USA,tt0460829,2006
13964,In the Navy (1941),1.7929484051464002e-05,USA,tt0033754,1941
13965,3 Men and a Little Lady (1990),1.7929484051464002e-05,USA,tt0098966,1990
13966,Rage in Heaven (1941),1.7929484051464002e-05,USA,tt0034078,1941
13967,The Inn of the Sixth Happiness (1958),1.7929484051464002e-05,USA,tt0051776,1958
13968,Living Venus (1961),1.7925852866030625e-05,USA,tt0054035,1961
13969,The First Time (1978),1.7924272273101085e-05,USA,tt0187008,1978
13970,American Dreamz (2006),1.7924204873099158e-05,USA,tt0465142,2006
13971,Assassination (1987),1.7922830556599125e-05,USA,tt0092585,1987
13972,Lao jia lao nu lao shang lao (1978),1.7922828675126825e-05,"Hong Kong,Taiwan",tt0089459,1978
13973,People (1978),1.7922828675126825e-05,USA,tt0078072,1978
13974,Fen nu qing nian (1973),1.7922828675126825e-05,Hong Kong,tt0069959,1973
13975,The Onion Field (1979),1.7922828675126825e-05,USA,tt0079668,1979
13976,St. Ives (1976),1.7922828675126825e-05,USA,tt0075263,1976
13977,Oklahoma Crude (1973),1.7922828675126825e-05,USA,tt0070472,1973
13978,Li Xiao Long yu wo (1976),1.7922828675126825e-05,Hong Kong,tt0072745,1976
13979,Cry Rape (1974),1.7922828675126825e-05,USA,tt0135306,1974
13980,The Hitter (1979),1.7922828675126825e-05,USA,tt0179219,1979
13981,Tom Horn (1980),1.7922828675126825e-05,USA,tt0080031,1980
13982,The Redeemer: Son of Satan! (1978),1.7922828675126825e-05,USA,tt0130216,1978
13983,Maria's Lovers (1984),1.7922308423008316e-05,USA,tt0087682,1984
13984,Never Been Kissed (1999),1.792190682336141e-05,USA,tt0151738,1999
13985,A Girl in Every Port (1952),1.792181868927977e-05,USA,tt0044662,1952
13986,Violets Are Blue... (1986),1.7920028682770004e-05,USA,tt0092173,1986
13987,Fun with Dick and Jane (1977),1.7919363071112707e-05,USA,tt0076059,1977
13988,No Man of Her Own (1932),1.7918778912043385e-05,USA,tt0023277,1932
13989,Popi (1969),1.7918778912043385e-05,USA,tt0064827,1969
13990,New Faces of 1937 (1937),1.79176579307188e-05,USA,tt0029303,1937
13991,Abraham Lincoln: Vampire Hunter (2012),1.7916581126424484e-05,USA,tt1611224,2012
13992,The Dumb Girl of Portici (1916),1.7913630001083033e-05,USA,tt0006614,1916
13993,F.I.S.T (1978),1.7913630001083033e-05,USA,tt0077531,1978
13994,Suburban Commando (1991),1.791197675616848e-05,USA,tt0103003,1991
13995,Little Giants (1994),1.7911321649771723e-05,USA,tt0110364,1994
13996,Northfork (2003),1.791114641494445e-05,USA,tt0322659,2003
13997,Bringing Down the House (2003),1.791114641494445e-05,USA,tt0305669,2003
13998,The Relic (1997),1.790868802562436e-05,"Japan,USA",tt0120004,1997
13999,Thunderheart (1992),1.790435245789759e-05,USA,tt0105585,1992
14000,Changes (1970),1.7904056458923484e-05,USA,tt0238014,1970
14001,The Cat's Meow (2001),1.790285501715522e-05,USA,tt0266391,2001
14002,The Puppet Masters (1994),1.7899871263180694e-05,USA,tt0111003,1994
14003,Hedwig and the Angry Inch (2001),1.789889742910554e-05,USA,tt0248845,2001
14004,What Planet Are You From? (2000),1.78979324461559e-05,USA,tt0181151,2000
14005,Space Master X-7 (1958),1.78979324461559e-05,USA,tt0052228,1958
14006,Heaven's Gate: The Untold Story (1999),1.78979324461559e-05,USA,tt0223439,1999
14007,UFOs: 50 Years of Denial? (1997),1.78979324461559e-05,USA,tt2229150,1997
14008,Million Dollar Mystery (1987),1.7894750111903088e-05,USA,tt0093539,1987
14009,Paradise Road (1997),1.789278295867596e-05,USA,tt0119859,1997
14010,Paperman (2012),1.7891990059121812e-05,USA,tt3727208,2012
14011,Field of Honor (1986),1.789050954601207e-05,South Korea,tt0091045,1986
14012,City Heat (1984),1.789050954601207e-05,USA,tt0087062,1984
14013,Thunder Alley (1985),1.789050954601207e-05,USA,tt0090168,1985
14014,The Man from Hong Kong (1975),1.7890303561397305e-05,Hong Kong,tt0073343,1975
14015,Nothing Lasts Forever (1984),1.7886330137456883e-05,USA,tt0087817,1984
14016,Caveman (1981),1.7883574059652805e-05,USA,tt0082146,1981
14017,From Mao to Mozart: Isaac Stern in China (1979),1.7883574059652805e-05,USA,tt0080762,1979
14018,Jungle Erotic (1970),1.7883574059652805e-05,USA,tt0189634,1970
14019,Sengoku jieitai (1979),1.7883574059652805e-05,Japan,tt0083050,1979
14020,Can't Stop the Music (1980),1.7883574059652805e-05,USA,tt0080492,1980
14021,Horror Safari (1982),1.7883574059652805e-05,Hong Kong,tt0123915,1982
14022,Still of the Night (1982),1.7883574059652805e-05,USA,tt0084732,1982
14023,Zudora (1914),1.7882381438013298e-05,USA,tt0004846,1914
14024,Day of the Nightmare (1965),1.7882381438013298e-05,USA,tt0059087,1965
14025,Mission: Killfast (1991),1.7882381438013298e-05,USA,tt0261833,1991
14026,A Bird of Prey (1916),1.7882381438013298e-05,USA,tt0157399,1916
14027,David Copperfield (1911),1.7882381438013298e-05,USA,tt0336247,1911
14028,Too Hot to Handle (1938),1.7882381438013298e-05,USA,tt0030879,1938
14029,The World and the Woman (1916),1.7882381438013298e-05,USA,tt0007590,1916
14030,The Unfortunate Marriage (1917),1.7882381438013298e-05,USA,tt0184033,1917
14031,The Monster of Piedras Blancas (1959),1.7882381438013298e-05,USA,tt0051947,1959
14032,Dimension in Fear (1998),1.7882381438013298e-05,USA,tt0261651,1998
14033,Alex Joseph and His Wives (1977),1.7882381438013298e-05,USA,tt0219489,1977
14034,The Magnetic Monster (1953),1.7882381438013298e-05,USA,tt0046026,1953
14035,Cinderella (1911),1.7882381438013298e-05,USA,tt0003772,1911
14036,The Strawberry Statement (1970),1.7882381438013298e-05,USA,tt0066415,1970
14037,King Lear (1916),1.7882381438013298e-05,USA,tt0006895,1916
14038,Saturday Night Special (1992),1.7882381438013298e-05,USA,tt0109570,1992
14039,It Runs in the Family (2003),1.7882381438013298e-05,USA,tt0311110,2003
14040,How's Your News? (1999),1.7882381438013298e-05,USA,tt0298917,1999
14041,The Making of 'Silent Running' (1974),1.7882381438013298e-05,USA,tt0196732,1974
14042,Angel of Vengeance (1987),1.7882381438013298e-05,USA,tt0094294,1987
14043,Joseph in the Land of Egypt (1914),1.7882381438013298e-05,USA,tt0004179,1914
14044,The Juggler (1953),1.7882381438013298e-05,USA,tt0045941,1953
14045,Robin Hood (1913),1.7882381438013298e-05,USA,tt0003337,1913
14046,The Devil (1915),1.7882381438013298e-05,USA,tt0005193,1915
14047,The Indian Fighter (1955),1.7882381438013298e-05,USA,tt0048204,1955
14048,Un acte d'amour (1953),1.7882381438013298e-05,USA,tt0046480,1953
14049,The Five Faults of Flo (1916),1.7882381438013298e-05,USA,tt0157650,1916
14050,The Monster Maker (1944),1.7882381438013298e-05,USA,tt0037084,1944
14051,Custer of the West (1967),1.7882381438013298e-05,USA,tt0062844,1967
14052,The Counterfeit Traitor (1962),1.7882381438013298e-05,USA,tt0055871,1962
14053,Love Is a Ball (1963),1.7882381438013298e-05,USA,tt0057262,1963
14054,I've Got Your Number (1934),1.7882381438013298e-05,USA,tt0025290,1934
14055,The Heart of Ezra Greer (1917),1.7882381438013298e-05,USA,tt0008059,1917
14056,Disgraced (1933),1.7882381438013298e-05,USA,tt0023951,1933
14057,Call Me Madam (1953),1.7882381438013298e-05,USA,tt0045592,1953
14058,Tom Petty and the Heartbreakers: Runnin' Down a Dream (2007),1.7882381438013298e-05,USA,tt0965382,2007
14059,The Sorceress (1989),1.7882381438013298e-05,USA,tt0191482,1989
14060,Inspiration (1915),1.7882381438013298e-05,USA,tt0005551,1915
14061,Strike Me Deadly (1963),1.7882381438013298e-05,USA,tt0176193,1963
14062,Lullaby of Broadway (1951),1.7882381438013298e-05,USA,tt0043762,1951
14063,The Monster Walks (1932),1.7882381438013298e-05,USA,tt0023236,1932
14064,The Adventures of Rocky & Bullwinkle (2000),1.7882381438013298e-05,USA,tt0131704,2000
14065,Behemoth the Sea Monster (1959),1.7882381438013298e-05,USA,tt0052611,1959
14066,The Horse Soldiers (1959),1.788144697078192e-05,USA,tt0052902,1959
14067,Rollerball (2002),1.7881156164807377e-05,"USA,Japan",tt0246894,2002
14068,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1.7881156164807377e-05,USA,tt0116126,1996
14069,The Unknown (1927),1.7874625983731314e-05,USA,tt0018528,1927
14070,Stick It (2006),1.7874373993726676e-05,USA,tt0430634,2006
14071,Hollywood Revels (1946),1.787284876624351e-05,USA,tt0203570,1946
14072,Tekkon kinkurîto (2006),1.7870573667287552e-05,Japan,tt0831888,2006
14073,Bolt (2008),1.7870573667287552e-05,USA,tt0397892,2008
14074,True Heart Susie (1919),1.7869953032246925e-05,USA,tt0010806,1919
14075,A Hole in the Head (1959),1.786800931583429e-05,USA,tt0052896,1959
14076,My Demon Lover (1987),1.7866997331527688e-05,USA,tt0093589,1987
14077,Suzy (1936),1.7863375304733958e-05,USA,tt0028330,1936
14078,C.H.U.D. II: Bud the Chud (1989),1.7860749592337036e-05,USA,tt0097001,1989
14079,Impulse (1974),1.7860710573541435e-05,USA,tt0071654,1974
14080,Hidalgo (2004),1.7858975941910197e-05,USA,tt0317648,2004
14081,Unfaithfully Yours (1984),1.7858390262524205e-05,USA,tt0088326,1984
14082,Antitrust (2001),1.7856623778522623e-05,USA,tt0218817,2001
14083,Girls Just Want to Have Fun (1985),1.785182085188057e-05,USA,tt0089208,1985
14084,Prison Girls (1972),1.7851499485645104e-05,USA,tt0244730,1972
14085,American Hot Wax (1978),1.785144016509909e-05,USA,tt0077158,1978
14086,White Line Fever (1975),1.785144016509909e-05,USA,tt6174952,1975
14087,Junior Bonner (1972),1.785144016509909e-05,USA,tt0068786,1972
14088,Thunder Alley (1967),1.785144016509909e-05,USA,tt0062365,1967
14089,Compulsion (1959),1.7850601730694897e-05,USA,tt0052700,1959
14090,Phantoms (1998),1.7848756371548662e-05,"USA,Japan",tt0119891,1998
14091,The Pallbearer (1996),1.7847794362313016e-05,USA,tt0117283,1996
14092,Todake no kyôdai (1941),1.7846864548032324e-05,Japan,tt0034298,1941
14093,Beastmaster 2: Through the Portal of Time (1991),1.784646936466824e-05,USA,tt0101412,1991
14094,The Girl Next Door (2004),1.7845394711237398e-05,USA,tt0830558,2004
14095,Juarez (1939),1.7844994764340576e-05,USA,tt0031516,1939
14096,Meitantei Conan: Goka no himawari (2015),1.7840236994399507e-05,Japan,tt3737650,2015
14097,Just for the Hell of It (1968),1.7840236994399507e-05,USA,tt0063167,1968
14098,Steel Arena (1973),1.7840236994399507e-05,USA,tt0070730,1973
14099,Whiskey Mountain (1977),1.7840236994399507e-05,USA,tt0076914,1977
14100,The Naked Zoo (1970),1.7840236994399507e-05,USA,tt0067476,1970
14101,The Wild Rebels (1967),1.7840236994399507e-05,USA,tt0062493,1967
14102,The Town That Dreaded Sundown (2014),1.7840236994399507e-05,USA,tt2561546,2014
14103,Sex and the College Girl (1964),1.7840236994399507e-05,USA,tt0058579,1964
14104,Lobster Man from Mars (1989),1.7840236994399507e-05,USA,tt0097768,1989
14105,The Godmothers (1975),1.7840236994399507e-05,USA,tt0070120,1975
14106,Stanley (1972),1.7840236994399507e-05,USA,tt0069308,1972
14107,Mako: The Jaws of Death (1976),1.7840236994399507e-05,USA,tt0074845,1976
14108,"Big Mommas: Like Father, Like Son (2011)",1.7840236994399507e-05,USA,tt1464174,2011
14109,"Jo Jo Dancer, Your Life Is Calling (1986)",1.7840236994399507e-05,USA,tt0091295,1986
14110,Cease Fire (1985),1.7840236994399507e-05,USA,tt0088892,1985
14111,The Phantom Speaks (1945),1.7840236994399507e-05,USA,tt0037984,1945
14112,Sno-Line (1986),1.7840236994399507e-05,USA,tt0088139,1986
14113,Bad Girls Do Cry (1965),1.7840236994399507e-05,USA,tt0131906,1965
14114,Racing Fever (1964),1.7840236994399507e-05,USA,tt0058510,1964
14115,The Bingo Long Traveling All-Stars & Motor Kings (1976),1.7840236994399507e-05,USA,tt0074207,1976
14116,Tsuribaka nisshi 19 (2008),1.7840236994399507e-05,Japan,tt1233534,2008
14117,Campfire Tales (1997),1.7840236994399507e-05,USA,tt0115813,1997
14118,Cinderfella (1960),1.7840236994399507e-05,USA,tt0053716,1960
14119,Greased Lightning (1977),1.7840236994399507e-05,USA,tt0076106,1977
14120,Zoku shachô gaku ABC (1970),1.7838652082651443e-05,Japan,tt0314954,1970
14121,Beverly Hills Ninja (1997),1.7837337304185287e-05,USA,tt0118708,1997
14122,Zathura: A Space Adventure (2005),1.783721123947339e-05,USA,tt0406375,2005
14123,Society (1989),1.7835102973625443e-05,USA,tt4814266,1989
14124,Holy Man (1998),1.78343034041202e-05,USA,tt0120701,1998
14125,Chain Reaction (1996),1.7834105872143347e-05,USA,tt0115857,1996
14126,Gridlock'd (1997),1.7831347272738644e-05,USA,tt0119225,1997
14127,Emmanuelle 5 (1987),1.7831347272738644e-05,USA,tt0092962,1987
14128,Harlem Aria (1999),1.7831347272738644e-05,USA,tt0168848,1999
14129,The Taming of the Shrew (1929),1.7828475335344673e-05,USA,tt0020479,1929
14130,The Postman Always Comes Twice (1986),1.7821086250146854e-05,USA,tt0190658,1986
14131,Death Race (2008),1.7819459474890884e-05,USA,tt0452608,2008
14132,American Flyers (1985),1.7815455323795786e-05,USA,tt0088707,1985
14133,"Slugs, muerte viscosa (1988)",1.7814629394483518e-05,USA,tt0093995,1988
14134,Buddy (1997),1.7812819577083146e-05,USA,tt0118787,1997
14135,Addicted to Love (1997),1.7812819577083146e-05,USA,tt0118556,1997
14136,Little Nemo: Adventures in Slumberland (1989),1.7812521211186723e-05,"Japan,USA",tt0104740,1989
14137,Summer Magic (1963),1.7812521211186723e-05,USA,tt0057542,1963
14138,The Monkey's Uncle (1965),1.7812521211186723e-05,USA,tt0059462,1965
14139,Beware! The Blob (1972),1.7811743897125265e-05,USA,tt0068271,1972
14140,Deadly Eyes (1982),1.7811743897125265e-05,Hong Kong,tt0083801,1982
14141,Drive-In Madness! (1987),1.7811743897125265e-05,USA,tt0199479,1987
14142,Snakes (1974),1.7811743897125265e-05,USA,tt0130267,1974
14143,Bits of Life (1921),1.7810849878793633e-05,USA,tt0011972,1921
14144,Treasure Island (1920),1.7810849878793633e-05,USA,tt0011785,1920
14145,Where East Is East (1929),1.7810849878793633e-05,USA,tt0020581,1929
14146,The Trap (1922),1.7810849878793633e-05,USA,tt0013704,1922
14147,A Blind Bargain (1922),1.7810849878793633e-05,USA,tt0012949,1922
14148,The Tower of Lies (1925),1.7810849878793633e-05,USA,tt0016446,1925
14149,Mr. Wu (1927),1.7810849878793633e-05,USA,tt0018179,1927
14150,Mockery (1927),1.7810849878793633e-05,USA,tt0018166,1927
14151,Ride in the Whirlwind (1966),1.7806147249061657e-05,USA,tt0059653,1966
14152,The Making of '...And God Spoke' (1993),1.7805538427189047e-05,USA,tt0107492,1993
14153,In Time (2011),1.7805376738099985e-05,USA,tt1637688,2011
14154,The Lake House (2006),1.7804642280066945e-05,USA,tt0410297,2006
14155,Catch the Heat (1987),1.7803163853137532e-05,USA,tt0092733,1987
14156,The Outing (1987),1.7803163853137532e-05,USA,tt0091707,1987
14157,Shen jing dao (1969),1.7803163853137532e-05,Hong Kong,tt0199016,1969
14158,Fei hao (1980),1.7803163853137532e-05,Hong Kong,tt0200041,1980
14159,Deadly Illusion (1987),1.7803163853137532e-05,USA,tt0092847,1987
14160,China Girl (1987),1.7803163853137532e-05,USA,tt0134569,1987
14161,Jackals (1986),1.7803163853137532e-05,USA,tt0091281,1986
14162,Turtle Diary (1985),1.78023069951471e-05,USA,tt0090219,1985
14163,Underworld U.S.A. (1961),1.78023069951471e-05,USA,tt0055571,1961
14164,Who Killed Teddy Bear (1965),1.78023069951471e-05,USA,tt0059909,1965
14165,Moving! (1974),1.78023069951471e-05,USA,tt0179992,1974
14166,Sex Is... (1993),1.78023069951471e-05,USA,tt0108090,1993
14167,Garden of Hedon (2011),1.78023069951471e-05,USA,tt1737794,2011
14168,The Lineup (1958),1.78023069951471e-05,USA,tt0051866,1958
14169,Take One (1977),1.78023069951471e-05,USA,tt0259029,1977
14170,The Cockettes (2002),1.78023069951471e-05,USA,tt0303321,2002
14171,Fixed Bayonets! (1951),1.78023069951471e-05,USA,tt0043540,1951
14172,The Undying Monster (1942),1.78023069951471e-05,USA,tt0035489,1942
14173,Fiendish Fables (2016),1.78023069951471e-05,USA,tt3916506,2016
14174,Day of the Gun (2013),1.78023069951471e-05,USA,tt2900182,2013
14175,The Mad Monster (1942),1.78023069951471e-05,USA,tt0035009,1942
14176,That Boy (1974),1.78023069951471e-05,USA,tt0259636,1974
14177,Adventures of Louanna Lee: The Movie (2015),1.78023069951471e-05,USA,tt4626960,2015
14178,Scandal Sheet (1952),1.78023069951471e-05,USA,tt0045124,1952
14179,China Gate (1957),1.78023069951471e-05,USA,tt0050252,1957
14180,The Werewolf (1956),1.78023069951471e-05,USA,tt0049944,1956
14181,Daughter of Dr. Jekyll (1957),1.78023069951471e-05,USA,tt0050292,1957
14182,Grave Mistakes (2008),1.78023069951471e-05,USA,tt1434424,2008
14183,Chikan densha: Shanai de ippatsu (1985),1.78023069951471e-05,Japan,tt0142170,1985
14184,Strange Illusion (1945),1.78023069951471e-05,USA,tt0038126,1945
14185,An Evening of Edgar Allan Poe (1970),1.78023069951471e-05,USA,tt0229371,1970
14186,Service de Luxe (1938),1.78023069951471e-05,USA,tt0030732,1938
14187,The Death of Poe (2006),1.78023069951471e-05,USA,tt0430001,2006
14188,You're in the Army Now (1941),1.78023069951471e-05,USA,tt0034411,1941
14189,Postcards from the Edge (1990),1.78023069951471e-05,USA,tt0100395,1990
14190,Seedpeople (1992),1.78023069951471e-05,USA,tt0105347,1992
14191,Babes in Bagdad (1952),1.78023069951471e-05,USA,tt0044389,1952
14192,The Strange Woman (1946),1.78023069951471e-05,USA,tt0038990,1946
14193,The Naked Dawn (1955),1.78023069951471e-05,USA,tt0048411,1955
14194,Sette contro la morte (1964),1.78023069951471e-05,USA,tt0059022,1964
14195,Blood and Wine (1996),1.78023069951471e-05,USA,tt0115710,1996
14196,Club Havana (1945),1.78023069951471e-05,USA,tt0037605,1945
14197,Roulette (2012),1.78023069951471e-05,USA,tt2292897,2012
14198,Rise and Fall... In Love (2013),1.78023069951471e-05,USA,tt2996686,2013
14199,The Whales of August (1987),1.78023069951471e-05,USA,tt0094315,1987
14200,Cry of the Werewolf (1944),1.78023069951471e-05,USA,tt0036731,1944
14201,The Mad Magician (1954),1.78023069951471e-05,USA,tt0047200,1954
14202,The Lone Wolf in London (1947),1.78023069951471e-05,USA,tt0039579,1947
14203,Ready for Action (2015),1.78023069951471e-05,USA,tt4791546,2015
14204,One-Eyed Horse (2008),1.78023069951471e-05,USA,tt1043696,2008
14205,Ruthless (1948),1.78023069951471e-05,USA,tt0040751,1948
14206,Carnegie Hall (1947),1.78023069951471e-05,USA,tt0039244,1947
14207,Five Loose Women (1974),1.78023069951471e-05,USA,tt0124565,1974
14208,Sicko (2007),1.78023069951471e-05,USA,tt0386032,2007
14209,Konketsuji Rika: Hamagure komoriuta (1973),1.78023069951471e-05,Japan,tt1171693,1973
14210,Stop-Loss (2008),1.78023069951471e-05,USA,tt0489281,2008
14211,The Mating Habits of the Earthbound Human (1999),1.78023069951471e-05,USA,tt0165874,1999
14212,The Book of Eli (2010),1.78023069951471e-05,USA,tt1037705,2010
14213,"Pimps Up, Ho's Down (1998)",1.78023069951471e-05,USA,tt0214005,1998
14214,Fall from Grace (2007),1.78023069951471e-05,USA,tt0977649,2007
14215,Brigham Young (1940),1.78023069951471e-05,USA,tt0032281,1940
14216,Lions for Lambs (2007),1.78023069951471e-05,USA,tt0891527,2007
14217,Dracula's Widow (1988),1.78023069951471e-05,USA,tt0097230,1988
14218,The Onion Movie (2008),1.78023069951471e-05,USA,tt0392878,2008
14219,Chain Gang Women (1971),1.78023069951471e-05,USA,tt0066905,1971
14220,The Last Song (2010),1.78023069951471e-05,USA,tt1294226,2010
14221,Jian yu bu she fang (1990),1.78023069951471e-05,Hong Kong,tt0099880,1990
14222,Whiplash (2014),1.78023069951471e-05,USA,tt2582802,2014
14223,D3: The Mighty Ducks (1996),1.78023069951471e-05,USA,tt0116000,1996
14224,Some of My Best Friends Are (1971),1.78023069951471e-05,USA,tt0067771,1971
14225,Indoctrinate U (2007),1.78023069951471e-05,USA,tt1137970,2007
14226,Staircase (1969),1.78023069951471e-05,USA,tt0065031,1969
14227,Heaven Is for Real (2014),1.78023069951471e-05,USA,tt1929263,2014
14228,Do You Believe? (2015),1.78023069951471e-05,USA,tt6960218,2015
14229,Nightfall (1956),1.78023069951471e-05,USA,tt0049552,1956
14230,"Oh, God! You Devil (1984)",1.78023069951471e-05,USA,tt0087835,1984
14231,Old Fashioned (2014),1.78023069951471e-05,USA,tt2048824,2014
14232,Zenka onna: koroshi-bushi (1973),1.78023069951471e-05,Japan,tt0451984,1973
14233,Extraordinary Measures (2010),1.78023069951471e-05,USA,tt1244659,2010
14234,War Room (2015),1.78023069951471e-05,USA,tt3832914,2015
14235,The Identical (2014),1.78023069951471e-05,USA,tt2326574,2014
14236,Saving Christmas (2014),1.78023069951471e-05,USA,tt6803170,2014
14237,Second Glance (1992),1.78023069951471e-05,USA,tt0220029,1992
14238,Vendetta (1986),1.78023069951471e-05,USA,tt0092156,1986
14239,The Emperor's New Groove (2000),1.78023069951471e-05,USA,tt0120917,2000
14240,Sunset Trail (1938),1.78023069951471e-05,USA,tt0030812,1938
14241,She-Wolf of London (1946),1.78023069951471e-05,USA,tt0038934,1946
14242,Darkness Falls (2003),1.78014243673247e-05,USA,tt0282209,2003
14243,Desert Bandit (1941),1.7801045993414787e-05,USA,tt0033524,1941
14244,Funny Games (2007),1.7797906274561885e-05,USA,tt0808279,2007
14245,The Score (2001),1.779606982735061e-05,USA,tt0227445,2001
14246,Whatever It Takes (2000),1.779605992459522e-05,USA,tt0202402,2000
14247,Get Over It (2001),1.779605992459522e-05,USA,tt0192071,2001
14248,The Wood (1999),1.779605992459522e-05,USA,tt0161100,1999
14249,The Best of Times (1986),1.779605992459522e-05,USA,tt0090713,1986
14250,Space Chimps (2008),1.779163045328059e-05,USA,tt0482603,2008
14251,Jolson Sings Again (1949),1.7788516575991408e-05,USA,tt0041530,1949
14252,Affair in Trinidad (1952),1.7788516575991408e-05,USA,tt0044331,1952
14253,Da se (1980),1.7788462955917796e-05,Hong Kong,tt0284964,1980
14254,My World Dies Screaming (1958),1.7780693874731116e-05,USA,tt0051962,1958
14255,The Landlord (1970),1.7778960482393274e-05,USA,tt0250550,1970
14256,Bound for Glory (1976),1.7778960482393274e-05,USA,tt0074235,1976
14257,Desperate Hours (1990),1.7775596248208686e-05,USA,tt0099409,1990
14258,Thirteen Conversations About One Thing (2001),1.7775464372021967e-05,USA,tt0268690,2001
14259,Lin Shi Rong (1979),1.777434449128906e-05,Hong Kong,tt0079472,1979
14260,The Corpse Came C.O.D. (1947),1.7773003427706958e-05,USA,tt0039279,1947
14261,Jubal (1956),1.7773003427706958e-05,USA,tt0048233,1956
14262,The Pinto Kid (1941),1.7773003427706958e-05,USA,tt0034028,1941
14263,The Sniper (1952),1.7773003427706958e-05,USA,tt0045161,1952
14264,The Newlydeads (1988),1.777137649799583e-05,USA,tt0093614,1988
14265,Epitaph (1987),1.777137649799583e-05,USA,tt0186993,1987
14266,'Round Midnight (1986),1.7769011623895455e-05,USA,tt0090557,1986
14267,Shock (1946),1.7767989376775874e-05,USA,tt0038937,1946
14268,"Parole, Inc. (1948)",1.7767989376775874e-05,USA,tt0041733,1948
14269,Gunki hatameku motoni (1972),1.7767989376775874e-05,Japan,tt0289782,1972
14270,Sundown (1941),1.7767989376775874e-05,USA,tt0034242,1941
14271,St. Benny the Dip (1951),1.7767989376775874e-05,USA,tt0044067,1951
14272,Impact (1949),1.7767989376775874e-05,USA,tt0041503,1949
14273,Zi gu ying xiong chu shao nian (1983),1.7767989376775874e-05,"China,Hong Kong",tt0202160,1983
14274,Borderline (1950),1.7767989376775874e-05,USA,tt0042274,1950
14275,Ying xiong lie nu (1966),1.7767989376775874e-05,Taiwan,tt1483550,1966
14276,The Mask of Dimitrios (1944),1.7767989376775874e-05,USA,tt0037055,1944
14277,The Hoodlum (1951),1.7767989376775874e-05,USA,tt0043655,1951
14278,The Amazing Mr. X (1948),1.7767989376775874e-05,USA,tt0040829,1948
14279,Xiang Gang qi an 5: Jian mo (1977),1.7767989376775874e-05,Hong Kong,tt0934437,1977
14280,Song of Russia (1944),1.7767989376775874e-05,USA,tt0036378,1944
14281,The Sun Sets at Dawn (1950),1.7767989376775874e-05,USA,tt0044088,1950
14282,The Dictator (2012),1.7767989376775874e-05,USA,tt1645170,2012
14283,The Isle of Lost Ships (1923),1.7767989376775874e-05,USA,tt0014158,1923
14284,The Night of January 16th (1941),1.7767989376775874e-05,USA,tt0033954,1941
14285,Mr. Muggs Rides Again (1945),1.7767989376775874e-05,USA,tt0037930,1945
14286,Dick Tracy Meets Gruesome (1947),1.7767989376775874e-05,USA,tt0039320,1947
14287,You Came Along (1945),1.7767989376775874e-05,USA,tt0038263,1945
14288,Salt (2010),1.7767989376775874e-05,USA,tt0944835,2010
14289,The Return of Dracula (1958),1.7767989376775874e-05,USA,tt0052131,1958
14290,Lian cheng jue (1980),1.7767989376775874e-05,Hong Kong,tt0165363,1980
14291,Billy the Kid Versus Dracula (1966),1.7767989376775874e-05,USA,tt0060168,1966
14292,Frankenstein's Great Aunt Tillie (1984),1.7767989376775874e-05,USA,tt0087290,1984
14293,The Gravy Train (1974),1.7767989376775874e-05,USA,tt0071575,1974
14294,Hong lou chun meng (1977),1.7767989376775874e-05,Hong Kong,tt0772231,1977
14295,Die xian (1980),1.7767989376775874e-05,Hong Kong,tt0080845,1980
14296,Star Wars: The Clone Wars (2008),1.7767989376775874e-05,USA,tt1185834,2008
14297,Jin yu liang yuan hong lou meng (1977),1.7767989376775874e-05,Hong Kong,tt0075959,1977
14298,Hei tai yang: Nan Jing da tu sha (1995),1.7767989376775874e-05,Hong Kong,tt0113281,1995
14299,Jesse James Meets Frankenstein's Daughter (1966),1.7767989376775874e-05,USA,tt0060558,1966
14300,Time Table (1956),1.7767989376775874e-05,USA,tt0049857,1956
14301,Da da xiao xiao yi jia chun (1980),1.7767989376775874e-05,Hong Kong,tt1431695,1980
14302,Love at First Bite (1979),1.7767989376775874e-05,USA,tt0079489,1979
14303,Bao jian ta (1978),1.7767989376775874e-05,"Hong Kong,Taiwan",tt1117962,1978
14304,The Last Stand (2013),1.7767989376775874e-05,USA,tt1549920,2013
14305,Lao guo jie (1978),1.7767989376775874e-05,Hong Kong,tt1171697,1978
14306,Behind Green Lights (1946),1.7767989376775874e-05,USA,tt0038346,1946
14307,Little Lord Fauntleroy (1921),1.7766598620842673e-05,USA,tt0012397,1921
14308,Schlock! The Secret History of American Movies (2001),1.7761866521124028e-05,USA,tt0286944,2001
14309,Heisei tanuki gassen ponpoko (1994),1.7760559066305138e-05,Japan,tt0110008,1994
14310,Escaflowne (2000),1.7760559066305138e-05,Japan,tt0270933,2000
14311,Aa! Megamisama! The Movie (2000),1.7760559066305138e-05,Japan,tt0265018,2000
14312,Purojekuto A-ko (1986),1.7760559066305138e-05,Japan,tt0091794,1986
14313,Jack the Giant Killer (1962),1.776055379080539e-05,USA,tt0056112,1962
14314,The Last Tycoon (1976),1.7757512084666568e-05,USA,tt0074777,1976
14315,All the Pretty Horses (2000),1.7754262924013182e-05,USA,tt0149624,2000
